Tiempo,Referencia,Salida_Planta,z0,z1,z2,z3
0.252,0,2.36052e-07,-4.11115e-07,-3.48567e-05,-0.000361637,0.0288
0.256,0,2.11446e-07,-3.87863e-07,-3.02577e-05,-4.18167e-05,0.036
0.26,0,1.78205e-07,-3.5064e-07,-2.44886e-05,0.000303847,0.0432
0.264,0,1.36214e-07,-2.99029e-07,-1.75571e-05,0.000673287,0.0504
0.268,0,8.56023e-08,-2.33169e-07,-9.50124e-06,0.00106385,0.0576
0.272,0,2.67614e-08,-1.54039e-07,-4.05586e-07,0.00147183,0.0648
0.276,0,-3.96375e-08,-6.40492e-08,9.5597e-06,0.00189112,0.072
0.28,0,-1.12643e-07,3.10686e-08,1.99955e-05,0.00230767,0.0792
0.284,0,-1.91059e-07,1.06536e-07,2.82611e-05,0.00251719,0.072
0.288,0,-2.7351e-07,1.80461e-07,3.59456e-05,0.00265919,0.0648
0.292,0,-3.58484e-07,2.57084e-07,4.3248e-05,0.00275184,0.0576
0.296,0,-4.44352e-07,3.3649e-07,5.01176e-05,0.00280028,0.0504
0.3,0,-5.29381e-07,4.17688e-07,5.64609e-05,0.00280725,0.0432
0.304,0,-6.11744e-07,4.99208e-07,6.2174e-05,0.00277462,0.036
0.308,0,-6.89542e-07,5.79315e-07,6.71525e-05,0.00270382,0.0288
0.312,0,-7.60826e-07,6.56119e-07,7.12952e-05,0.00259608,0.0216
0.316,0,-8.23623e-07,7.27635e-07,7.45059e-05,0.0024525,0.0144
0.32,0,-8.7597e-07,7.91836e-07,7.66947e-05,0.00227408,0.0072
0.324,0,-9.15945e-07,8.46685e-07,7.77781e-05,0.00206183,-1.73472e-18
0.328,0,-9.41709e-07,8.90173e-07,7.76801e-05,0.0018167,-0.0072
0.332,0,-9.51544e-07,9.20356e-07,7.63323e-05,0.00153969,-0.0144
0.336,0,-9.43899e-07,9.35384e-07,7.36751e-05,0.0012318,-0.0216
0.34,0,-9.17427e-07,9.33547e-07,6.96579e-05,0.000894091,-0.0288
0.344,0,-8.71038e-07,9.13313e-07,6.42409e-05,0.000527707,-0.036
0.348,0,-8.03931e-07,8.73387e-07,5.73962e-05,0.000133895,-0.0432
0.352,0,-7.15646e-07,8.1277e-07,4.91103e-05,-0.00028594,-0.0504
0.356,0,-6.06095e-07,7.30846e-07,3.93868e-05,-0.000730173,-0.0576
0.36,0,-4.756e-07,6.27502e-07,2.82519e-05,-0.00119685,-0.0648
0.364,0,-3.2492e-07,5.03299e-07,1.57617e-05,-0.00168348,-0.072
0.368,0,-1.55274e-07,3.59767e-07,2.01754e-06,-0.00218672,-0.0792
0.372,0,3.16494e-08,1.9997e-07,-1.28029e-05,-0.00270143,-0.0864
0.376,0,2.33698e-07,2.99685e-08,-2.83555e-05,-0.00321791,-0.0936
0.38,0,4.48292e-07,-1.3338e-07,-4.3546e-05,-0.00369863,-0.1008
0.384,0,6.72511e-07,-2.67184e-07,-5.58346e-05,-0.0039474,-0.0936
0.388,0,9.03209e-07,-4.03477e-07,-6.7685e-05,-0.00413808,-0.0864
0.392,0,1.13707e-06,-5.45287e-07,-7.91676e-05,-0.00428002,-0.0792
0.396,0,1.37061e-06,-6.92785e-07,-9.0224e-05,-0.00437723,-0.072
0.4,0,1.60024e-06,-8.45036e-07,-0.00010076,-0.00443209,-0.0648
0.404,0,1.82223e-06,-1.00052e-06,-0.00011067,-0.00444629,-0.0576
0.408,0,2.03273e-06,-1.15737e-06,-0.000119844,-0.00442111,-0.0504
0.412,0,2.22786e-06,-1.31347e-06,-0.000128174,-0.00435767,-0.0432
0.416,0,2.40366e-06,-1.46656e-06,-0.000135556,-0.0042569,-0.036
0.42,0,2.55618e-06,-1.61425e-06,-0.000141889,-0.00411969,-0.0288
